round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,log_likelihood,42,8,326,2895.3297335668294,0.2701601151263454,0.768414313479561,7.289926228729667e-11,0.5592677334953525,2.4228789361439168e-05
2,log_likelihood,42,16,318,3014.8312518940074,0.20867014718927535,0.4605026335214143,0.0007651228450927959,0.7391976498900835,8.774115260291691e-10
3,log_likelihood,42,24,310,2858.665462006824,0.288527363062972,0.5466025932117455,4.0131908594853434e-05,0.754407965994424,2.508273888850691e-10
4,log_likelihood,42,32,302,3209.4473272603573,0.10320735507504786,0.37776950718221114,0.006836674335608179,0.7509917366436173,3.3487896080212547e-10
5,log_likelihood,42,40,294,2187.9448582207087,0.5832224881574972,0.7684911404349443,7.238972595597426e-11,0.7531783911079305,2.784728747794606e-10
6,log_likelihood,42,48,286,2075.8923431202425,0.6248186975852257,0.8114894911100514,8.83670279035458e-13,0.7561647329521293,2.1579268839882228e-10
7,log_likelihood,42,56,278,2091.6444548491363,0.619103256407703,0.8133715487031317,7.10527182391073e-13,0.7562244814254397,2.146865922360339e-10
8,log_likelihood,42,64,270,2033.2065439673515,0.6400894888935884,0.8172380055971253,4.50435563291862e-13,0.7533469974664244,2.74518684384156e-10
9,log_likelihood,42,72,262,2021.9034559107963,0.6440800253533148,0.8161759120805737,5.110557165905194e-13,0.7643287571813808,1.0545307232232514e-10
10,log_likelihood,42,80,254,2013.6622549422932,0.6469755446318971,0.8135060184636216,6.994765943150767e-13,0.7597398482711863,1.5825751959724382e-10
11,log_likelihood,42,88,246,1939.1577727817569,0.6726157190109385,0.8213730608714828,2.733516085132591e-13,0.7494295611349601,3.816056259339393e-10
12,log_likelihood,42,96,238,1939.7237297484735,0.6724245922695745,0.820909554348379,2.892751338016555e-13,0.7425223194483926,6.723049793602118e-10
13,log_likelihood,42,104,230,1960.8252275454156,0.6652586954789219,0.8181803805835772,4.024213953754911e-13,0.741908588000901,7.063901345545272e-10
14,log_likelihood,42,112,222,1955.3086304328685,0.6671395721875342,0.8187281518608136,3.767884304357809e-13,0.7428148824475767,6.566085365448281e-10
15,log_likelihood,42,120,214,1964.6803914752757,0.6639411367398638,0.8173026552758788,4.469751808718848e-13,0.7290812125785747,1.9259018919661807e-09
16,log_likelihood,42,128,206,1954.9570490617327,0.6672592637825143,0.8200206928072621,3.223068169844106e-13,0.7323195166429416,1.503167837887528e-09
17,log_likelihood,42,136,198,1967.797714453026,0.6628738536050851,0.8187511740228768,3.757457973406142e-13,0.7281031050439956,2.0741576864071295e-09
18,log_likelihood,42,144,190,1972.8868245068563,0.6611278503647193,0.8174297541824821,4.4024561776689045e-13,0.7194081630847834,3.95561962889046e-09
19,log_likelihood,42,152,182,1964.0263751332718,0.6641648386784906,0.8197742383646507,3.320810892682785e-13,0.7221396723540332,3.2379266554474413e-09
20,log_likelihood,42,160,174,1967.5819896173248,0.6629477661781047,0.8191075202046003,3.5995263573954484e-13,0.7155832670086206,5.215242239300677e-09
